eventName,function,highlight,notable
AddRoleToInstanceProfile,IAM,low,true
AddUserToGroup,IAM,low,true
ChangePassword,IAM,elevated,true
CreateAccessKey,IAM,low,true
CreateAccountAlias,IAM,low,true
CreateGroup,IAM,low,true
CreateInstanceProfile,IAM,low,true
CreateLoginProfile,IAM,low,true
CreateRole,IAM,low,true
CreateSAMLProvider,IAM,low,true
CreateUser,IAM,low,true
CreateVirtualMFADevice,IAM,low,true
DeactivateMFADevice,IAM,severe,true
DeleteAccessKey,IAM,severe,true
DeleteAccountAlias,IAM,severe,true
DeleteAccountPasswordPolicy,IAM,severe,true
DeleteGroup,IAM,severe,true
DeleteGroupPolicy,IAM,severe,true
DeleteInstanceProfile,IAM,severe,true
DeleteLoginProfile,IAM,severe,true
DeleteRole,IAM,severe,true
DeleteRolePolicy,IAM,severe,true
DeleteSAMLProvider,IAM,severe,true
DeleteServerCertificate,IAM,severe,true
DeleteSigningCertificate,IAM,severe,true
DeleteUser,IAM,severe,true
DeleteUserPolicy,IAM,severe,true
DeleteVirtualMFADevice,IAM,severe,true
EnableMFADevice,IAM,low,true
GetAccountPasswordPolicy,IAM,elevated,false
GetAccountSummary,IAM,elevated,false
GetGroup,IAM,elevated,false
GetGroupPolicy,IAM,elevated,false
GetInstanceProfile,IAM,elevated,false
GetLoginProfile,IAM,elevated,false
GetRole,IAM,elevated,false
GetRolePolicy,IAM,elevated,false
GetSAMLProvider,IAM,elevated,false
GetServerCertificate,IAM,elevated,false
GetUser,IAM,elevated,false
GetUserPolicy,IAM,elevated,false
ListAccessKeys,IAM,elevated,false
ListAccountAliases,IAM,elevated,false
ListGroupPolicies,IAM,elevated,false
ListGroups,IAM,elevated,false
ListGroupsForUser,IAM,elevated,false
ListInstanceProfiles,IAM,elevated,false
ListInstanceProfilesForRole,IAM,elevated,false
ListMFADevices,IAM,elevated,false
ListRolePolicies,IAM,elevated,false
ListRoles,IAM,elevated,false
ListSAMLProviders,IAM,elevated,false
ListServerCertificates,IAM,elevated,false
ListSigningCertificates,IAM,elevated,false
ListUserPolicies,IAM,elevated,false
ListUsers,IAM,elevated,false
ListVirtualMFADevices,IAM,elevated,false
PutGroupPolicy,IAM,low,true
PutRolePolicy,IAM,low,true
PutUserPolicy,IAM,low,true
RemoveRoleFromInstanceProfile,IAM,severe,true
RemoveUserFromGroup,IAM,severe,true
ResyncMFADevice,IAM,low,true
UpdateAccessKey,IAM,elevated,true
UpdateAccountPasswordPolicy,IAM,elevated,true
UpdateAssumeRolePolicy,IAM,elevated,true
UpdateGroup,IAM,elevated,true
UpdateLoginProfile,IAM,elevated,true
UpdateSAMLProvider,IAM,elevated,true
UpdateServerCertificate,IAM,elevated,true
UpdateSigningCertificate,IAM,elevated,true
UpdateUser,IAM,elevated,true
UploadServerCertificate,IAM,low,true
UploadSigningCertificate,IAM,low,true
DescribeAccountAttributes,"Account Attributes",elevated,false
ConfirmProductInstance,DevPay,low,false
CopyImage,AMIs,low,true
CreateImage,AMIs,low,true
DeregisterImage,AMIs,severe,true
DescribeImageAttribute,AMIs,elevated,false
DescribeImages,AMIs,elevated,false
ModifyImageAttribute,AMIs,elevated,true
RegisterImage,AMIs,low,true
ResetImageAttribute,AMIs,severe,true
BundleInstance,"Bundle Tasks",low,true
CancelBundleTask,"Bundle Tasks",severe,true
DescribeBundleTasks,"Bundle Tasks",elevated,false
CreateCustomerGateway,VPC,low,true
DeleteCustomerGateway,VPC,severe,true
DescribeCustomerGateways,VPC,elevated,false
AssociateDhcpOptions,VPC,low,true
CreateDhcpOptions,VPC,low,true
DeleteDhcpOptions,VPC,severe,true
DescribeDhcpOptions,VPC,elevated,false
AttachVolume,EBS,low,true
CopySnapshot,EBS,low,true
CreateSnapshot,EBS,low,true
CreateVolume,EBS,low,true
DeleteSnapshot,EBS,severe,true
DeleteVolume,EBS,severe,true
DescribeSnapshotAttribute,EBS,elevated,false
DescribeSnapshots,EBS,elevated,false
DescribeVolumeAttribute,EBS,elevated,false
DescribeVolumes,EBS,elevated,false
DescribeVolumeStatus,EBS,elevated,false
DetachVolume,EBS,severe,true
EnableVolumeIO,EBS,low,true
ModifySnapshotAttribute,EBS,elevated,true
ModifyVolumeAttribute,EBS,elevated,true
ResetSnapshotAttribute,EBS,severe,true
AllocateAddress,"Elastic IP Addresses",low,true
AssociateAddress,"Elastic IP Addresses",low,true
DescribeAddresses,"Elastic IP Addresses",elevated,false
DisassociateAddress,"Elastic IP Addresses",severe,true
ReleaseAddress,"Elastic IP Addresses",elevated,true
AssignPrivateIpAddresses,VPC,low,true
AttachNetworkInterface,VPC,low,true
CreateNetworkInterface,VPC,low,true
DeleteNetworkInterface,VPC,severe,true
DescribeNetworkInterfaceAttribute,VPC,elevated,false
DescribeNetworkInterfaces,VPC,elevated,false
DetachNetworkInterface,VPC,severe,true
ModifyNetworkInterfaceAttribute,VPC,elevated,true
ResetNetworkInterfaceAttribute,VPC,severe,true
UnassignPrivateIpAddresses,VPC,severe,true
DescribeInstanceAttribute,Instances,elevated,false
DescribeInstances,Instances,elevated,false
DescribeInstanceStatus,Instances,elevated,false
GetConsoleOutput,Instances,elevated,true
GetPasswordData,Instances,elevated,true
ModifyInstanceAttribute,Instances,elevated,true
MonitorInstances,Instances,elevated,true
RebootInstances,Instances,severe,true
ReportInstanceStatus,Instances,elevated,true
ResetInstanceAttribute,Instances,severe,true
RunInstances,Instances,low,true
StartInstances,Instances,low,true
StopInstances,Instances,severe,true
TerminateInstances,Instances,severe,true
UnmonitorInstances,Instances,severe,true
AttachInternetGateway,VPC,low,true
CreateInternetGateway,VPC,low,true
DeleteInternetGateway,VPC,severe,true
DescribeInternetGateways,VPC,elevated,false
DetachInternetGateway,VPC,severe,true
CreateKeyPair,"Key Pairs",low,true
DeleteKeyPair,"Key Pairs",severe,true
DescribeKeyPairs,"Key Pairs",elevated,false
ImportKeyPair,"Key Pairs",low,true
CreateNetworkAcl,VPC,low,true
CreateNetworkAclEntry,VPC,low,true
