process_name, process_hash, need_to_filtered
DismHost.exe, "MD5=03F3504E45ACBB30F956A84E5C8DFA96,SHA256=2FB529DE54D39308398E59CC7FA5CAEF1ACF81A13BCCDD645950E7F88D3842E1,IMPHASH=C601FA732FF0599995A293BA7882B84D", 1
DismHost.exe, "MD5=E5D5E9C1F65B8EC7AA5B7F1B1ACDD731,SHA256=E30508E2088BC16B2A84233CED64995F738DEAEF2366AC6C86B35C93BBCD9D80,IMPHASH=D204EB506D6ABBEB4C51A54E8F6C1789", 1
DismHost.exe, "MD5=DD630511F697002DDEE58570A2E7A3D1,SHA256=95AEC6D12E6F9E6E1E3045259CF024D30625BF4E520D94F333387359221735E4,IMPHASH=974AE72CAAA9A5B422B64B2DFA2DF386", 1
DismHost.exe, "MD5=A59C22B77871CC18970038B7FA43826F,SHA256=CB84B51713BAD689ABB96560E57A71B276D4B28B1C09C7116EE85F5782A1B144,IMPHASH=734010D3430DBD2CA51B599924FE1424", 1
DismHost.exe, "MD5=B5E80BA4CE0781E4B9129AB4D86AB4A9,SHA256=5108587A0713975BBD79A0E1A56B0DD0D0E63D89D7B681D1E0BF7979E21080B0,IMPHASH=A1A2F440F1D9FAC0ABD77A4ECF28BAA4", 1
DismHost.exe, "MD5=C0AD078FB0028E99425002BE55AC3679,SHA256=4F2D069682C2A21900561BE0532CFE3E970DD728D7EC6CBC9A66F5B582BB5C9B,IMPHASH=67E3F6159751BA37445A85DEF408754E", 1
DismHost.exe, "MD5=EB67BDF0EAAC6EA0CA18667F6CACD5FB,SHA256=0F25D825E0CAA7574353951C11131BDA85FD7792957467F23B24FA9A7D3D9D32,IMPHASH=A644B5814B05375757429DFB05524479", 1
MpSigStub.exe, "MD5=01F92DC7A766FF783AE7AF40FD0334FB,SHA256=FA42B9B84754E2E8368E8929FA045BE86DBD72678176EE75814D2A16D23E5C26,IMPHASH=17C9015AF786E0332059F422B92FB6BB", 1
MpSigStub.exe, "MD5=5221B7A59665153028FB57761CE560B9,SHA256=0BC408C801441239F72D7DF3DD6EDBCDFB5313D6AE5A04C0A13E8C2DFC39F6D8,IMPHASH=B8184B5DC20C6A4EF3F5986172EE74CC", 1
MpSigStub.exe, "MD5=7B40825F7367CDF8E93D4F91E6DA8C79,SHA256=B6CB512B2D1746972342AA627B8DB632E8A08D5250FFEDC098049F254E5C97EA,IMPHASH=17C9015AF786E0332059F422B92FB6BB", 1
OneDriveSetup.exe, "MD5=8140BC420C0B20F1449F9F3DB5463E0D,SHA256=4A889EFEF2B52DAC0EB55D0D67CE9FC5A28A7EF380B7DA6D91344B0EB7E1FF36,IMPHASH=CF8B454A1303EC51F93700A043756F7A", 1
OneDriveSetup.exe, "MD5=A09A665E0F61D4B18364DB7271D8765D,SHA256=2C850A5CE483004519CAA0C57966D6654D39975A29E580DB712D206AAA56CE83,IMPHASH=CF8B454A1303EC51F93700A043756F7A", 1
OneDriveSetup.exe, "MD5=44416D65EBF2AC7C39D9A68CBD1A3A9A,SHA256=2FACADE0B5B0D8F29BFA57E81E05753FE052786873F2BBCD8F648841968064FE,IMPHASH=CF8B454A1303EC51F93700A043756F7A", 1
OneDriveSetup.exe, "MD5=3E57FE8C6775F48E9CB4B2F2E6D8BCAF,SHA256=5259D84317AD19A8D80FF61B371AB54FF2986DBBE56448C8004C0E1CEF157B3B,IMPHASH=FEA7A83313C5BE8F4A8B9A3421F83DD6", 1
OneDriveSetup.exe, "MD5=785882F3A209DDD59AA3C299F972DEC5,SHA256=87570328BD940C87E8DCC0DA39403D2C2F96BB879C839C53CCE2939B7F8AD1E2,IMPHASH=0BC43810E5AEAC6598CF01E0B55F59C7", 1
bash.exe, "MD5=32275787C7C51D2310B8FE2FACF2A935,SHA256=744343E01351BA92E365B7E24EEDD4ED18ED3EBE26E68C69D9B5E324FE64A1B5,IMPHASH=7358EF16984261EC8925E382CDDC1FB6", 1
bash.exe, "MD5=3F97459F21CAC8040D83AE12C5C0E6C1,SHA256=78D1760E7EAD9D594CB0183E9632AF761DF9D4C46714BB92086D5DE99351050D,IMPHASH=E8D8802100FAA877AC12771D566353AC", 1
bash.exe, "MD5=32275787C7C51D2310B8FE2FACF2A935,SHA256=744343E01351BA92E365B7E24EEDD4ED18ED3EBE26E68C69D9B5E324FE64A1B5,IMPHASH=7358EF16984261EC8925E382CDDC1FB6", 1
bash.exe, "MD5=1C388839CBFAE534A024B54B0F91DB2E,SHA256=7F2F6D1A86DD09488878A80BC99E35834297BA67982612A67AC5750ACBE3C30D,IMPHASH=CA4A6F9322501D3EC60EFFC53D69FFA0", 1
curl.exe, "MD5=EF8F7D8D50C616F535128E1D5C99EDE8,SHA256=02E0D81DC9A4825FCA8316E5ED6018BBFB19D4ABD53830150EAA8B263291450F,IMPHASH=2219DA7653D064A59CA4275DFD041191", 1
rdpinit.exe, "MD5=222D4336333C5A537A9D08D35BBC454B,SHA256=3D3BA1B01383F22DBE1286D3C8DCA35E382FEE81DC794C78CEA13F6BDEC0043E,IMPHASH=A1D76D66551EA2165AF877ECF494E35D", 1
