action_id,action_name
ACDO,DATABASE_OBJECT_ACCESS_GROUP
ACO,SCHEMA_OBJECT_ACCESS_GROUP
ADBO,BULK ADMIN
ADDP,DATABASE_ROLE_MEMBER_CHANGE_GROUP
ADSC,ADD SENSITIVITY CLASSIFICATION
ADSP,SERVER_ROLE_MEMBER_CHANGE_GROUP
AL,ALTER
ALCN,ALTER CONNECTION
ALRS,ALTER RESOURCES
ALSS,ALTER SERVER STATE
ALST,ALTER SETTINGS
ALTR,ALTER TRACE
APRL,ADD MEMBER
AS,ACCESS
AUSC,AUDIT SESSION CHANGED
AUSF,AUDIT SHUTDOWN ON FAILURE
AUTH,AUTHENTICATE
BA,BACKUP
BAL,BACKUP LOG
BCM,BATCH COMPLETED
BCMG,BATCH_COMPLETED_GROUP
BRDB,BACKUP_RESTORE_GROUP
BST,BATCH STARTED
BSTG,BATCH_STARTED_GROUP
C2OF,TRACE AUDIT C2OFF
C2ON,TRACE AUDIT C2ON
CCLG,CHANGE LOGIN CREDENTIAL
CMLG,CREDENTIAL MAP TO LOGIN
CNAU,AUDIT_CHANGE_GROUP
CO,CONNECT
CP,CHECKPOINT
CR,CREATE
D,DENY
DABO,DATABASE BULK ADMIN
DAGF,FAILED_DATABASE_AUTHENTICATION_GROUP
DAGL,DATABASE_LOGOUT_GROUP
DAGS,SUCCESSFUL_DATABASE_AUTHENTICATION_GROUP
DBAF,DATABASE AUTHENTICATION FAILED
DBAS,DATABASE AUTHENTICATION SUCCEEDED
DBCC,DBCC
DBCG,DBCC_GROUP
DBL,DATABASE LOGOUT
DL,DELETE
DPRL,DROP MEMBER
DR,DROP
DRSC,DROP SENSITIVITY CLASSIFICATION
DWC,DENY WITH CASCADE
EX,EXECUTE
FT,FULLTEXT
FTG,FULLTEXT_GROUP
G,GRANT
GRDB,DATABASE_PERMISSION_CHANGE_GROUP
GRDO,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GRO,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
GRSO,SERVER_OBJECT_PERMISSION_CHANGE_GROUP
GRSV,SERVER_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT
IMDP,DATABASE_PRINCIPAL_IMPERSONATION_GROUP
IMP,IMPERSONATE
IMSP,SERVER_PRINCIPAL_IMPERSONATION_GROUP
IN,INSERT
LGB,BROKER LOGIN
LGBG,BROKER_LOGIN_GROUP
LGDA,DISABLE
LGDB,CHANGE DEFAULT DATABASE
LGEA,ENABLE
LGFL,FAILED_LOGIN_GROUP
LGG,GLOBAL TRANSACTIONS LOGIN
LGGG,GLOBAL_TRANSACTIONS_LOGIN_GROUP
LGIF,LOGIN FAILED
LGIS,LOGIN SUCCEEDED
LGLG,CHANGE DEFAULT LANGUAGE
LGM,DATABASE MIRRORING LOGIN
LGMG,DATABASE_MIRRORING_LOGIN_GROUP
LGNM,NAME CHANGE
LGO,LOGOUT
LGS,STORAGE LOGIN
LGSD,SUCCESSFUL_LOGIN_GROUP
LGSG,STORAGE_LOGIN_GROUP
LO,LOGOUT_GROUP
MNDB,DATABASE_CHANGE_GROUP
MNDO,DATABASE_OBJECT_CHANGE_GROUP
MNDP,DATABASE_PRINCIPAL_CHANGE_GROUP
MNO,SCHEMA_OBJECT_CHANGE_GROUP
MNSO,SERVER_OBJECT_CHANGE_GROUP
