ErrorCode,LogonError
1000000,UserNotBoundError
1000002,BindCompleteInterruptError
1000104,XCB2BResourceCloudNotAllowedOnIdentityTenant
120000,PasswordChangeIncorrectCurrentPassword
120002,PasswordChangeInvalidNewPasswordWeak
120003,PasswordChangeInvalidNewPasswordContainsMemberName
120004,PasswordChangeOnPremComplexity
120005,PasswordChangeOnPremSuccessCloudFail
120008,PasswordChangeAsyncJobStateTerminated
120011,PasswordChangeAsyncUpnInferenceFailed
120012,PasswordChangeNeedsToHappenOnPrem
120013,PasswordChangeOnPremisesConnectivityFailure
120014,PasswordChangeOnPremUserAccountLockedOutOrDisabled
120015,PasswordChangeADAdminActionRequired
120016,PasswordChangeUserNotFoundBySspr
120018,PasswordChangePasswordDoesnotComplyFuzzyPolicy
120020,PasswordChangeFailure
120021,PartnerServiceSsprInternalServiceError
130004,NgcKeyNotFound
130005,NgcInvalidSignature
130006,NgcTransportKeyNotFound
130007,NgcDeviceIsDisabled
130008,NgcDeviceIsNotFound
135010,KeyNotFound
135011,DeviceIsDisabled
140000,InvalidRequestNonce
140001,InvalidSessionKey
16000,SelectUserAccount
16001,UserAccountSelectionInvalid
16002,AppSessionSelectionInvalid
160021,AppSessionSelectionInvalidSessionNotExist
16003,SsoUserAccountNotFoundInResourceTenant
165900,InvalidApiRequest
17003,CredentialKeyProvisioningFailed
20001,WsFedSignInResponseError
20012,WsFedMessageInvalid
20033,FedMetadataInvalidTenantName
220450,UnsupportedAndroidWebViewVersion
220501,InvalidCrlDownload
221000,DeviceOnlyTokensNotSupportedByResource
230109,CachedCredentialNonGWAuthNRequestsNotSupported
240001,BulkAADJTokenUnauthorized
240002,RequiredClaimIsMissing
40008,OAuth2IdPUnretryableServerError
40009,OAuth2IdPRefreshTokenRedemptionUserError
40010,OAuth2IdPRetryableServerError
40015,OAuth2IdPAuthCodeRedemptionUserError
50000,TokenIssuanceError
50001,InvalidResource
500011,InvalidResourceServicePrincipalNotFound
500014,InvalidResourceServicePrincipalDisabled
50002,NotAllowedTenant
500021,NotAllowedTenantRestrictedTenant
50003,MissingSigningKey
50005,DevicePolicyError
50006,InvalidSignature
50007,PartnerEncryptionCertificateMissing
50008,InvalidSamlToken
5000819,InvalidSamlTokenEmailMissingOrInvalid
50010,AudienceUriValidationFailed
50011,InvalidReplyTo
500111,InvalidReplyToInvalidScheme
500113,InvalidReplyToReplyAddressNotRegistered
50012,AuthenticationFailed
500121,AuthenticationFailedSasError
50013,InvalidAssertion
50014,GuestUserInPendingState
50015,ViralUserLegalAgeConsentRequiredState
50017,CertificateValidationFailed
50020,UserUnauthorized
500212,NotAllowedByOutboundPolicyTenant
500213,NotAllowedByInboundPolicyTenant
50027,InvalidJwtToken
50029,Invalid URI
50032,WeakRsaKey
50033,RetryableError
50034,UserAccountNotFound
50042,UnableToGeneratePairwiseIdentifierWithMissingSalt
50043,UnableToGeneratePairwiseIdentifierWithMultipleSalts
50048,SubjectMismatchesIssuer
50049,NoSuchInstanceForDiscovery
50050,MalformedDiscoveryRequest
50052,InvalidPasswordExceedsMaxLength
50053,IdsLocked
50055,InvalidPasswordExpiredPassword
50056,Invalid or null password
50057,UserDisabled
50058,UserInformationNotProvided
50059,MissingTenantRealmAndNoUserInformationProvided
50061,SignoutInvalidRequest
50064,CredentialAuthenticationError
50068,SignoutInitiatorNotParticipant
50070,SignoutUnknownSessionIdentifier
50071,SignoutMessageExpired
50072,UserStrongAuthEnrollmentRequiredInterrupt
50074,UserStrongAuthClientAuthNRequiredInterrupt
50076,UserStrongAuthClientAuthNRequired
50078,UserStrongAuthExpired
50079,UserStrongAuthEnrollmentRequired
50086,SasNonRetryableError
50087,SasRetryableError
50088,Limit on telecom MFA calls reached
50089,FlowTokenExpired
50097,DeviceAuthenticationRequired
50099,PKeyAuthInvalidJwtUnauthorized
50105,EntitlementGrantsNotFound
50107,InvalidRealmUri
50120,ThresholdJwtInvalidJwtFormat
50124,ClaimsTransformationInvalidInputParameter
50125,PasswordResetRegistrationRequiredInterrupt
50126,InvalidUserNameOrPassword
50127,BrokerAppNotInstalled
501271,BrokerAppNotInstalledDeviceAuthenticationFailed
50128,Invalid domain name
50129,DeviceIsNotWorkplaceJoined
50131,ConditionalAccessFailed
501314,TriggerBrowserCapabilitiesInterrupt
50132,SsoArtifactInvalidOrExpired
50133,SsoArtifactRevoked
50134,DeviceFlowAuthorizeWrongDatacenter
50135,PasswordChangeCompromisedPassword
50136,RedirectMsaSessionToApp
50139,SessionMissingMsaOAuth2RefreshToken
50140,KmsiInterrupt
50143,Session mismatch
50144,InvalidPasswordExpiredOnPremPassword
50146,MissingCustomSigningKey
50147,MissingCodeChallenge
501491,InvalidCodeChallengeMethodInvalidSize
50155,DeviceAuthenticationFailed
50158,ExternalSecurityChallenge
50161,InvalidExternalSecurityChallengeConfiguration
50166,ExternalClaimsProviderThrottled
50168,ChromeBrowserSsoInterruptRequired
50169,InvalidRequestBadRealm
50170,MissingExternalClaimsProviderMapping
50173,FreshTokenNeeded
50177,ExternalChallengeNotSupportedForPassthroughUsers
