userAccountControl,"uac_bin_map","uac_details"
512,00000000000000000000001000000000,"Enabled:Normal User Account"
514,00000000000000000000001000000010,"Disabled:Normal User Account"
546,00000000000000000000001000100010,"Disabled:Password Not Required:Normal User Account"
640,00000000000000000000001010000000,"Enabled:Store Password using reversible encryption:Normal User Account"
4096,00000000000000000001000000000000,"Enabled:Workstation Trust Account"
4098,00000000000000000001000000000010,"Disabled:Workstation Trust Account"
4128,00000000000000000001000000100000,"Enabled:Password Not Required:Workstation Trust Account"
66048,00000000000000010000001000000000,"Enabled:Normal User Account:Password Does Not Expire"
66050,00000000000000010000001000000010,"Disabled:Normal User Account:Password Does Not Expire"
66082,00000000000000010000001000100010,"Disabled:Password Not Required:Normal User Account:Password Does Not Expire"
66176,00000000000000010000001010000000,"Enabled:Store Password using reversible encryption:Normal User Account:Password Does Not Expire"
262656,00000000000001000000001000000000,"Enabled:Normal User Account:Smart Card Required"
328192,00000000000001010000001000000000,"Enabled:Normal User Account:Password Does Not Expire:Smart Card Required"
532480,00000000000010000010000000000000,"Enabled:Server Trust Account:Trusted for Delegation"
1049088,00000000000100000000001000000000,"Enabled:Normal User Account:Sensitive - Not Delegated"
1049090,00000000000100000000001000000010,"Disabled:Normal User Account:Sensitive - Not Delegated"
1114624,00000000000100010000001000000000,"Enabled:Normal User Account:Password Does Not Expire:Sensitive - Not Delegated"
2097664,00000000001000000000001000000000,"Enabled:Normal User Account:Kerberos authentication DES only"
2163200,00000000001000010000001000000000,"Enabled:Normal User Account:Password Does Not Expire:Kerberos authentication DES only"
4194816,00000000010000000000001000000000,"Enabled:Normal User Account:Kerberos Does Not Require Pre-Auth"
4260352,00000000010000010000001000000000,"Enabled:Normal User Account:Password Does Not Expire:Kerberos Does Not Require Pre-Auth"
4456962,00000000010001000000001000000010,"Disabled:Normal User Account:Smart Card Required:Kerberos Does Not Require Pre-Auth"
6357504,00000000011000010000001000000000,"Enabled:Normal User Account:Password Does Not Expire:Kerberos authentication DES only:Kerberos Does Not Require Pre-Auth"
7406080,00000000011100010000001000000000,"Enabled:Normal User Account:Password Does Not Expire:Sensitive - Not Delegated:Kerberos authentication DES only:Kerberos Does Not Require Pre-Auth"
7668224,00000000011101010000001000000000,"Enabled:Normal User Account:Password Does Not Expire:Smart Card Required:Sensitive - Not Delegated:Kerberos authentication DES only:Kerberos Does Not Require Pre-Auth"
7668226,00000000011101010000001000000010,"Disabled:Normal User Account:Password Does Not Expire:Smart Card Required:Sensitive - Not Delegated:Kerberos authentication DES only:Kerberos Does Not Require Pre-Auth"
7668354,00000000011101010000001010000010,"Disabled:Store Password using reversible encryption:Normal User Account:Password Does Not Expire:Smart Card Required:Sensitive - Not Delegated:Kerberos authentication DES only:Kerberos Does Not Require Pre-Auth"
